id;time;time_received;battery;cellid;rsrp;rsrq;snr;tac;satellites;charging;flight_id
809736;2023-04-03 08:52:04+00;2023-04-03 09:11:34.513553+00;4.047999858856201;219A0D00;-85;-9;9;BCAC;11;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809737;2023-04-03 08:52:19+00;2023-04-03 09:11:34.516269+00;4.052000045776367;219A0D00;-91;-11;6;BCAC;11;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809738;2023-04-03 08:52:34+00;2023-04-03 09:11:34.51892+00;4.046000003814697;219A0D00;-90;-8;6;BCAC;9;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809739;2023-04-03 08:52:49+00;2023-04-03 09:11:34.521503+00;4.052000045776367;219A0D00;-90;-11;3;BCAC;11;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809740;2023-04-03 08:53:04+00;2023-04-03 09:11:34.524367+00;4.045000076293945;219A0D00;-95;-13;3;BCAC;12;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809741;2023-04-03 08:53:19+00;2023-04-03 09:11:34.527045+00;4.053999900817871;219A0D00;-86;-11;6;BCAC;11;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809742;2023-04-03 08:53:34+00;2023-04-03 09:11:34.533306+00;4.045000076293945;219A0D00;-86;-9;6;BCAC;14;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809743;2023-04-03 08:53:49+00;2023-04-03 09:11:34.536348+00;4.045000076293945;219A0D00;-85;-15;3;BCAC;16;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809744;2023-04-03 08:54:04+00;2023-04-03 09:11:34.539132+00;3.9600000381469727;219A0D00;-98;-17;-6;BCAC;17;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809745;2023-04-03 08:54:19+00;2023-04-03 09:11:34.541874+00;4.039999961853027;219A0D00;-91;-12;-3;BCAC;17;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809746;2023-04-03 08:54:34+00;2023-04-03 09:11:34.544879+00;4.044000148773193;1F4A0D00;-74;-6;18;BCAC;13;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809747;2023-04-03 08:54:49+00;2023-04-03 09:11:34.547611+00;4.035999774932861;1F4A0D00;-68;-7;21;BCAC;15;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809748;2023-04-03 08:55:05+00;2023-04-03 09:11:34.550296+00;4.0370001792907715;1F4A0D00;-65;-6;24;BCAC;13;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
809749;2023-04-03 08:55:20+00;2023-04-03 09:11:34.553016+00;4.0370001792907715;1F4A0D00;-69;-6;21;BCAC;16;FALSE;a1adff95-ae84-4ce7-b196-6e1bef5d69de
