id,time,time_received,latitude,longitude,altitude,geo_altitude,height,velocity_x,velocity_y,velocity_z,vertical_accuracy,horizontal_accuracy,speed_accuracy,pressure
8114918,2023-04-03 08:55:18+00,2023-04-03 08:55:18.680859+00,50.046783447265625,14.485481262207031,134.65,291.5,10.44,-7.4,-3.2,0,4,10,4,997.1812500000001
8114919,2023-04-03 08:55:19+00,2023-04-03 08:55:20.511416+00,50.0467529296875,14.485372543334961,134.86,291.5,10.65,-7.6000000000000005,-3.4000000000000004,0,4,10,4,997.15625
8114920,2023-04-03 08:55:20+00,2023-04-03 08:55:20.557288+00,50.046722412109375,14.485272407531738,136.65,292,12.44,-7.4,-3.2,0,4,10,4,996.94375
8114921,2023-04-03 08:55:21+00,2023-04-03 08:55:21.925369+00,50.046695709228516,14.485173225402832,135.33,292,11.12,-7.2,-3.2,0,4,10,4,997.1
8114922,2023-04-03 08:55:22+00,2023-04-03 08:55:22.672183+00,50.04667663574219,14.485076904296875,133.91,292,9.7,-7,-3,0,4,10,4,997.2687500000001
8114923,2023-04-03 08:55:23+00,2023-04-03 08:55:23.72318+00,50.04664993286133,14.484984397888184,134.75,292.5,10.54,-6.800000000000001,-2.8000000000000003,0,4,10,4,997.16875
8114924,2023-04-03 08:55:24+00,2023-04-03 08:55:24.436565+00,50.046627044677734,14.484902381896973,133.33,292.5,9.12,-6.4,-2.6,0,4,10,4,997.3375000000001
8114925,2023-04-03 08:55:25+00,2023-04-03 08:55:25.763286+00,50.04660415649414,14.48482894897461,132.91,292.5,8.7,-5.800000000000001,-2.4000000000000004,0,4,10,4,997.3875
8114926,2023-04-03 08:55:26+00,2023-04-03 08:55:26.347626+00,50.04658508300781,14.484755516052246,132.91,292.5,8.7,-5.6000000000000005,-2.4000000000000004,0,4,10,4,997.3875
8114927,2023-04-03 08:55:27+00,2023-04-03 08:55:27.547068+00,50.04656982421875,14.484702110290527,132.22,292.5,8.01,-5,-2.2,0,4,10,4,997.46875
8114928,2023-04-03 08:55:28+00,2023-04-03 08:55:28.953402+00,50.04656219482422,14.484675407409668,133.12,292,8.91,-4,-1.8,0,4,10,4,997.3625000000001
8114929,2023-04-03 08:55:29+00,2023-04-03 08:55:29.405024+00,50.04655838012695,14.484668731689453,132.85,292,8.64,-3,-1.2000000000000002,0,4,11,4,997.3937500000001
8114930,2023-04-03 08:55:30+00,2023-04-03 08:55:30.821212+00,50.04655838012695,14.48466682434082,133.01,292,8.8,-2,-1,0,4,11,4,997.375
8114931,2023-04-03 08:55:31+00,2023-04-03 08:55:31.43984+00,50.04655838012695,14.48466682434082,133.28,292,9.07,-1.4000000000000001,-0.6000000000000001,0,4,11,3,997.34375
8114932,2023-04-03 08:55:32+00,2023-04-03 08:55:32.967702+00,50.04655838012695,14.484663963317871,132.91,292,8.7,-1,-0.4,0,4,11,3,997.3875
8114933,2023-04-03 08:55:33+00,2023-04-03 08:55:33.513092+00,50.04655838012695,14.484662055969238,133.33,291.5,9.12,-0.6000000000000001,-0.2,0,4,11,3,997.3375000000001
8114934,2023-04-03 08:55:34+00,2023-04-03 08:55:34.649391+00,50.04655838012695,14.484661102294922,133.54,291,9.33,-0.4,-0.2,0,4,11,3,997.3125
8114935,2023-04-03 08:55:35+00,2023-04-03 08:55:35.961663+00,50.04655838012695,14.484661102294922,133.75,291,9.54,-0.2,0,0,4,11,4,997.2875
8114936,2023-04-03 08:55:36+00,2023-04-03 08:55:36.662434+00,50.04655838012695,14.484657287597656,133.17,291,8.96,-0.2,0,0,4,11,4,997.35625
8114937,2023-04-03 08:55:37+00,2023-04-03 08:55:38.045916+00,50.04655838012695,14.48464298248291,133.7,290.5,9.49,-0.4,0,0,4,11,4,997.29375
8114938,2023-04-03 08:55:38+00,2023-04-03 08:55:39.376499+00,50.046546936035156,14.484611511230469,133.91,291,9.7,-1,-0.4,0,4,11,4,997.2687500000001
8114940,2023-04-03 08:55:39+00,2023-04-03 08:55:40.95804+00,50.046531677246094,14.484557151794434,133.64,291,9.43,-1.8,-0.6000000000000001,0,4,11,4,997.3000000000001
8114939,2023-04-03 08:55:40+00,2023-04-03 08:55:40.914674+00,50.046512603759766,14.484489440917969,134.12,291,9.91,-3.2,-1.2000000000000002,0,4,11,4,997.2437500000001
8114941,2023-04-03 08:55:41+00,2023-04-03 08:55:44.331249+00,50.04649353027344,14.484414100646973,132.75,291,8.54,-4,-1.6,0,4,11,4,997.40625
8114942,2023-04-03 08:55:42+00,2023-04-03 08:55:44.417775+00,50.04646682739258,14.484318733215332,134.8,291,10.59,-5.2,-2.2,0,4,11,4,997.1625
8114943,2023-04-03 08:55:43+00,2023-04-03 08:55:44.493469+00,50.04643630981445,14.484212875366211,134.33,291,10.12,-6.2,-2.8000000000000003,0,4,11,4,997.21875
8114944,2023-04-03 08:55:44+00,2023-04-03 08:55:44.555144+00,50.046409606933594,14.484115600585938,134.17,291,9.96,-6.6000000000000005,-2.8000000000000003,0,4,11,4,997.2375000000001
8114945,2023-04-03 08:55:45+00,2023-04-03 08:55:46.880334+00,50.04637908935547,14.484030723571777,134.33,291,10.12,-6.4,-2.8000000000000003,0,4,11,3,997.21875
8114946,2023-04-03 08:55:46+00,2023-04-03 08:55:47.251877+00,50.04635238647461,14.483942031860352,131.59,291,7.38,-6.2,-3,0,4,10,4,997.54375
8114947,2023-04-03 08:55:47+00,2023-04-03 08:55:47.372969+00,50.04630661010742,14.483835220336914,132.64,292,8.43,-6.6000000000000005,-4.2,0.2,4,10,4,997.41875
8114948,2023-04-03 08:55:48+00,2023-04-03 08:55:52.917323+00,50.04625701904297,14.483702659606934,134.28,292,10.07,-9,-5.4,0,4,10,4,997.225
8114949,2023-04-03 08:55:49+00,2023-04-03 08:55:52.968996+00,50.046199798583984,14.483563423156738,135.49,292,11.28,-9.8,-5.800000000000001,0,4,10,4,997.0812500000001
8114950,2023-04-03 08:55:50+00,2023-04-03 08:55:53.017126+00,50.0461540222168,14.48342514038086,136.18,292,11.97,-9.8,-5,0,4,10,4,997
8114952,2023-04-03 08:55:51+00,2023-04-03 08:55:53.125889+00,50.04611587524414,14.483296394348145,134.38,292,10.17,-9.200000000000001,-4.4,0,4,10,4,997.2125000000001
8114951,2023-04-03 08:55:52+00,2023-04-03 08:55:53.053921+00,50.04608154296875,14.48318099975586,137.86,292,13.65,-9,-3.8000000000000003,0,4,10,3,996.8000000000001
8114953,2023-04-03 08:55:53+00,2023-04-03 08:55:53.580055+00,50.046051025390625,14.48307991027832,136.28,292.5,12.07,-8,-4,0,4,10,3,996.9875000000001
8114954,2023-04-03 08:55:54+00,2023-04-03 08:56:01.51162+00,50.046024322509766,14.482990264892578,134.86,292.5,10.65,-7.2,-3.4000000000000004,0,4,10,4,997.15625
8114955,2023-04-03 08:55:55+00,2023-04-03 08:56:01.555559+00,50.04600143432617,14.48291015625,135.28,292.5,11.07,-6.4,-3,0,4,10,4,997.10625
8114956,2023-04-03 08:55:56+00,2023-04-03 08:56:01.601457+00,50.045982360839844,14.482834815979004,135.02,292.5,10.81,-6,-2.6,0,4,10,4,997.1375
8114957,2023-04-03 08:55:57+00,2023-04-03 08:56:01.649115+00,50.045963287353516,14.482760429382324,134.96,293,10.75,-5.6000000000000005,-2.4000000000000004,0,4,10,4,997.1437500000001
8114959,2023-04-03 08:55:58+00,2023-04-03 08:56:01.814252+00,50.04594421386719,14.482685089111328,135.91,293,11.7,-5.4,-2.4000000000000004,0,4,10,4,997.03125
8114960,2023-04-03 08:55:59+00,2023-04-03 08:56:01.854711+00,50.045921325683594,14.482612609863281,135.07,293,10.86,-5.4,-2.2,0,4,10,4,997.13125
